question,options,correctAnswer,link,explanation,category
What is the primary function of the kidneys?,"['Filter waste from blood', 'Produce insulin', 'Store bile', 'Control breathing']",Filter waste from blood,https://www.wikipedia.org/wiki/What+is+the+primary+function+of+the+kidneys?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
Which organ is part of the urinary system?,"['Liver', 'Bladder', 'Stomach', 'Lungs']",Bladder,https://www.healthline.com/search?q=Which+organ+is+part+of+the+urinary+system?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What is the primary role of the digestive system?,"['Pump blood', 'Break down food', 'Produce hormones', 'Filter toxins']",Break down food,https://www.healthline.com/search?q=What+is+the+primary+role+of+the+digestive+system?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
Which enzyme breaks down proteins in the stomach?,"['Amylase', 'Pepsin', 'Lipase', 'Trypsin']",Pepsin,https://www.healthline.com/search?q=Which+enzyme+breaks+down+proteins+in+the+stomach?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
Which part of the digestive system absorbs nutrients?,"['Esophagus', 'Stomach', 'Small intestine', 'Large intestine']",Small intestine,https://www.healthline.com/search?q=Which+part+of+the+digestive+system+absorbs+nutrients?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What connects the kidneys to the bladder?,"['Urethra', 'Ureter', 'Vein', 'Artery']",Ureter,https://www.healthline.com/search?q=What+connects+the+kidneys+to+the+bladder?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What is bile's role in digestion?,"['Breaks down fats', 'Neutralizes acid', 'Produces enzymes', 'Absorbs water']",Breaks down fats,https://www.healthline.com/search?q=What+is+bile's+role+in+digestion?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
How much urine does a healthy adult produce daily?,"['0.5 liters', '1-2 liters', '3 liters', '4-5 liters']",1-2 liters,https://www.khanacademy.org/search?search=How+much+urine+does+a+healthy+adult+produce+daily?,This question relates to www.khanacademy.org. The question tests your understanding of key concepts in this area.,Other
What is the role of the large intestine?,"['Absorbs nutrients', 'Stores bile', 'Absorbs water', 'Breaks down proteins']",Absorbs water,https://www.healthline.com/search?q=What+is+the+role+of+the+large+intestine?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What is the medical term for urination?,"['Defecation', 'Micturition', 'Excretion', 'Filtration']",Micturition,https://www.wikipedia.org/wiki/What+is+the+medical+term+for+urination?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
Which organ stores bile?,"['Liver', 'Gallbladder', 'Pancreas', 'Kidney']",Gallbladder,https://www.healthline.com/search?q=Which+organ+stores+bile?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What is the primary function of the pancreas?,"['Store bile', 'Regulate blood sugar', 'Filter blood', 'Absorb water']",Regulate blood sugar,https://www.healthline.com/search?q=What+is+the+primary+function+of+the+pancreas?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
Which organ is part of both the digestive and endocrine systems?,"['Liver', 'Stomach', 'Pancreas', 'Kidneys']",Pancreas,https://www.healthline.com/search?q=Which+organ+is+part+of+both+the+digestive+and+endocrine+systems?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What causes kidney stones?,"['High cholesterol', 'Calcium deposits', 'Dehydration', 'Excess sugar']",Calcium deposits,https://www.wikipedia.org/wiki/What+causes+kidney+stones?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
What is the primary waste product in urine?,"['Carbon dioxide', 'Urea', 'Ammonia', 'Lactic acid']",Urea,https://www.healthline.com/search?q=What+is+the+primary+waste+product+in+urine?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
Which organ is responsible for filtering blood in the human body?,"['Liver', 'Heart', 'Kidney', 'Lungs']",Kidney,https://www.wikipedia.org/wiki/Which+organ+is+responsible+for+filtering+blood+in+the+human+body?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
Which part of the brain regulates balance and coordination?,"['Cerebrum', 'Cerebellum', 'Medulla', 'Thalamus']",Cerebellum,https://www.healthline.com/search?q=Which+part+of+the+brain+regulates+balance+and+coordination?,This question relates to www.healthline.com. The question tests your understanding of key concepts in this area.,Other
What is the smallest structural unit of the human body?,"['Cell', 'Tissue', 'Organ', 'Organ system']",Cell,https://www.wikipedia.org/wiki/What+is+the+smallest+structural+unit+of+the+human+body?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
What is the primary function of red blood cells?,"['Fight infections', 'Transport oxygen', 'Clot blood', 'Store nutrients']",Transport oxygen,https://www.wikipedia.org/wiki/What+is+the+primary+function+of+red+blood+cells?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
Which hormone is responsible for regulating blood sugar levels?,"['Insulin', 'Adrenaline', 'Thyroxine', 'Estrogen']",Insulin,https://www.wikipedia.org/wiki/Which+hormone+is+responsible+for+regulating+blood+sugar+levels?,This question relates to www.wikipedia.org. The question tests your understanding of key concepts in this area.,Other
